Vocab size: 8,192
Target hardware preset: NVIDIA A100-SXM4-80GB x1
MFU baseline FLOPs: 3.120e+14 (device-name:A100)
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,020,608
  scalars                 : 14
  total                   : 47,186,446
Estimated FLOPs per token: 1.793096e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011397 | lrm: 0.00 | dt: 14658ms | tok/sec: 8,941 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00488 (26.7%) | loss: 3.328782 | lrm: 0.82 | dt: 167ms | tok/sec: 784,979 | mfu: 45.1% | epoch: 1 | remaining: 220s    
step 00489 (26.7%) | loss: 3.314273 | lrm: 0.82 | dt: 167ms | tok/sec: 784,662 | mfu: 45.1% | epoch: 1 | remaining: 220s    
step 00490 (26.8%) | loss: 3.305577 | lrm: 0.82 | dt: 167ms | tok/sec: 784,878 | mfu: 45.1% | epoch: 1 | remaining: 219s    
step 00491 (26.8%) | loss: 3.304311 | lrm: 0.82 | dt: 166ms | tok/sec: 789,046 | mfu: 45.3% | epoch: 1 | remaining: 219s    
step 00492 (26.9%) | loss: 3.302395 | lrm: 0.82 | dt: 168ms | tok/sec: 780,478 | mfu: 44.9% | epoch: 1 | remaining: 219s    
step 00493 (26.9%) | loss: 3.303033 | lrm: 0.82 | dt: 168ms | tok/sec: 781,655 | mfu: 44.9% | epoch: 1 | remaining: 219s    
step 00494 (27.0%) | loss: 3.300904 | lrm: 0.82 | dt: 166ms | tok/sec: 787,703 | mfu: 45.3% | epoch: 1 | remaining: 219s    
step 00495 (27.1%) | loss: 3.304034 | lrm: 0.82 | dt: 167ms | tok/sec: 783,950 | mfu: 45.1% | epoch: 1 | remaining: 219s    
step 00496 (27.1%) | loss: 3.302414 | lrm: 0.82 | dt: 167ms | tok/sec: 782,742 | mfu: 45.0% | epoch: 1 | remaining: 218s    
step 00497 (27.2%) | loss: 3.305199 | lrm: 0.82 | dt: 167ms | tok/sec: 786,608 | mfu: 45.2% | epoch: 1 | remaining: 218s    
step 00498 (27.2%) | loss: 3.309611 | lrm: 0.82 | dt: 167ms | tok/sec: 785,564 | mfu: 45.1% | epoch: 1 | remaining: 218s    
step 00499 (27.3%) | loss: 3.312428 | lrm: 0.82 | dt: 167ms | tok/sec: 783,380 | mfu: 45.0% | epoch: 1 | remaining: 218s    
step 00500 (27.3%) | loss: 3.314698 | lrm: 0.82 | dt: 167ms | tok/sec: 785,643 | mfu: 45.2% | epoch: 1 | remaining: 218s    
step 00501 (27.4%) | loss: 3.313682 | lrm: 0.82 | dt: 166ms | tok/sec: 788,406 | mfu: 45.3% | epoch: 1 | remaining: 218s    
step 00502 (27.4%) | loss: 3.314687 | lrm: 0.82 | dt: 166ms | tok/sec: 790,002 | mfu: 45.4% | epoch: 1 | remaining: 217s    
step 00503 (27.5%) | loss: 3.316047 | lrm: 0.82 | dt: 168ms | tok/sec: 780,300 | mfu: 44.8% | epoch: 1 | remaining: 217s    
step 00504 (27.6%) | loss: 3.309639 | lrm: 0.81 | dt: 176ms | tok/sec: 746,060 | mfu: 42.9% | epoch: 1 | remaining: 217s    
step 00505 (27.6%) | loss: 3.307063 | lrm: 0.81 | dt: 167ms | tok/sec: 786,618 | mfu: 45.2% | epoch: 1 | remaining: 217s    
step 00506 (27.7%) | loss: 3.305198 | lrm: 0.81 | dt: 182ms | tok/sec: 719,203 | mfu: 41.3% | epoch: 1 | remaining: 217s    
step 00507 (27.7%) | loss: 3.306533 | lrm: 0.81 | dt: 166ms | tok/sec: 790,546 | mfu: 45.4% | epoch: 1 | remaining: 217s    
step 00508 (27.8%) | loss: 3.304464 | lrm: 0.81 | dt: 167ms | tok/sec: 786,116 | mfu: 45.2% | epoch: 1 | remaining: 216s    
step 00509 (27.8%) | loss: 3.300694 | lrm: 0.81 | dt: 167ms | tok/sec: 785,498 | mfu: 45.1% | epoch: 1 | remaining: 216s    
step 00510 (27.9%) | loss: 3.306341 | lrm: 0.81 | dt: 167ms | tok/sec: 783,686 | mfu: 45.0% | epoch: 1 | remaining: 216s    
step 00511 (28.0%) | loss: 3.308141 | lrm: 0.81 | dt: 167ms | tok/sec: 785,540 | mfu: 45.1% | epoch: 1 | remaining: 216s    
step 00512 (28.0%) | loss: 3.304137 | lrm: 0.81 | dt: 166ms | tok/sec: 788,827 | mfu: 45.3% | epoch: 1 | remaining: 216s    
step 00513 (28.1%) | loss: 3.298313 | lrm: 0.81 | dt: 167ms | tok/sec: 783,242 | mfu: 45.0% | epoch: 1 | remaining: 216s    
step 00514 (28.1%) | loss: 3.299349 | lrm: 0.81 | dt: 184ms | tok/sec: 712,573 | mfu: 41.0% | epoch: 1 | remaining: 215s    
step 00515 (28.2%) | loss: 3.296538 | lrm: 0.81 | dt: 167ms | tok/sec: 787,177 | mfu: 45.2% | epoch: 1 | remaining: 215s    
step 00516 (28.2%) | loss: 3.298387 | lrm: 0.81 | dt: 166ms | tok/sec: 788,761 | mfu: 45.3% | epoch: 1 | remaining: 215s    
step 00517 (28.3%) | loss: 3.300864 | lrm: 0.81 | dt: 167ms | tok/sec: 785,942 | mfu: 45.2% | epoch: 1 | remaining: 215s    
step 00518 (28.4%) | loss: 3.296080 | lrm: 0.81 | dt: 167ms | tok/sec: 783,813 | mfu: 45.0% | epoch: 1 | remaining: 215s    
step 00519 (28.4%) | loss: 3.295741 | lrm: 0.81 | dt: 166ms | tok/sec: 787,284 | mfu: 45.2% | epoch: 1 | remaining: 215s    
step 00520 (28.5%) | loss: 3.291011 | lrm: 0.81 | dt: 168ms | tok/sec: 782,135 | mfu: 45.0% | epoch: 1 | remaining: 214s    
step 00521 (28.5%) | loss: 3.291541 | lrm: 0.80 | dt: 166ms | tok/sec: 787,336 | mfu: 45.2% | epoch: 1 | remaining: 214s    
step 00522 (28.6%) | loss: 3.293049 | lrm: 0.80 | dt: 168ms | tok/sec: 780,363 | mfu: 44.8% | epoch: 1 | remaining: 214s    
step 00523 (28.6%) | loss: 3.290476 | lrm: 0.80 | dt: 166ms | tok/sec: 787,953 | mfu: 45.3% | epoch: 1 | remaining: 214s    
step 00524 (28.7%) | loss: 3.294328 | lrm: 0.80 | dt: 166ms | tok/sec: 788,726 | mfu: 45.3% | epoch: 1 | remaining: 214s    
step 00525 (28.7%) | loss: 3.292919 | lrm: 0.80 | dt: 167ms | tok/sec: 785,245 | mfu: 45.1% | epoch: 1 | remaining: 214s    
step 00526 (28.8%) | loss: 3.291005 | lrm: 0.80 | dt: 168ms | tok/sec: 780,790 | mfu: 44.9% | epoch: 1 | remaining: 213s    
step 00527 (28.9%) | loss: 3.291173 | lrm: 0.80 | dt: 167ms | tok/sec: 785,094 | mfu: 45.1% | epoch: 1 | remaining: 213s    
step 00528 (28.9%) | loss: 3.286544 | lrm: 0.80 | dt: 166ms | tok/sec: 788,550 | mfu: 45.3% | epoch: 1 | remaining: 213s    
step 00529 (29.0%) | loss: 3.288915 | lrm: 0.80 | dt: 167ms | tok/sec: 784,162 | mfu: 45.1% | epoch: 1 | remaining: 213s    
step 00530 (29.0%) | loss: 3.288694 | lrm: 0.80 | dt: 167ms | tok/sec: 784,550 | mfu: 45.1% | epoch: 1 | remaining: 213s    
step 00531 (29.1%) | loss: 3.287627 | lrm: 0.80 | dt: 167ms | tok/sec: 786,862 | mfu: 45.2% | epoch: 1 | remaining: 213s    
step 00532 (29.1%) | loss: 3.288441 | lrm: 0.80 | dt: 189ms | tok/sec: 693,358 | mfu: 39.8% | epoch: 1 | remaining: 212s    
step 00533 (29.2%) | loss: 3.283971 | lrm: 0.80 | dt: 166ms | tok/sec: 790,135 | mfu: 45.4% | epoch: 1 | remaining: 212s    
step 00534 (29.2%) | loss: 3.289697 | lrm: 0.80 | dt: 167ms | tok/sec: 785,211 | mfu: 45.1% | epoch: 1 | remaining: 212s    
step 00535 (29.3%) | loss: 3.280184 | lrm: 0.80 | dt: 166ms | tok/sec: 788,414 | mfu: 45.3% | epoch: 1 | remaining: 212s    
step 00536 (29.4%) | loss: 3.281982 | lrm: 0.80 | dt: 166ms | tok/sec: 788,596 | mfu: 45.3% | epoch: 1 | remaining: 212s    
step 00537 (29.4%) | loss: 3.288224 | lrm: 0.80 | dt: 167ms | tok/sec: 783,068 | mfu: 45.0% | epoch: 1 | remaining: 212s    
step 00538 (29.5%) | loss: 3.289224 | lrm: 0.79 | dt: 178ms | tok/sec: 734,992 | mfu: 42.2% | epoch: 1 | remaining: 211s    
step 00539 (29.5%) | loss: 3.285489 | lrm: 0.79 | dt: 166ms | tok/sec: 787,855 | mfu: 45.3% | epoch: 1 | remaining: 211s    
step 00540 (29.6%) | loss: 3.277715 | lrm: 0.79 | dt: 167ms | tok/sec: 784,690 | mfu: 45.1% | epoch: 1 | remaining: 211s    
step 00541 (29.6%) | loss: 3.274823 | lrm: 0.79 | dt: 166ms | tok/sec: 789,010 | mfu: 45.3% | epoch: 1 | remaining: 211s    
step 00542 (29.7%) | loss: 3.279212 | lrm: 0.79 | dt: 167ms | tok/sec: 786,676 | mfu: 45.2% | epoch: 1 | remaining: 211s    
step 00543 (29.8%) | loss: 3.280808 | lrm: 0.79 | dt: 180ms | tok/sec: 728,130 | mfu: 41.8% | epoch: 1 | remaining: 211s    
step 00544 (29.8%) | loss: 3.271401 | lrm: 0.79 | dt: 177ms | tok/sec: 740,197 | mfu: 42.5% | epoch: 1 | remaining: 210s    
step 00545 (29.9%) | loss: 3.276009 | lrm: 0.79 | dt: 198ms | tok/sec: 662,531 | mfu: 38.1% | epoch: 1 | remaining: 210s    
step 00546 (29.9%) | loss: 3.278257 | lrm: 0.79 | dt: 166ms | tok/sec: 790,657 | mfu: 45.4% | epoch: 1 | remaining: 210s    
step 00547 (30.0%) | loss: 3.270247 | lrm: 0.79 | dt: 166ms | tok/sec: 788,603 | mfu: 45.3% | epoch: 1 | remaining: 210s    
step 00548 (30.0%) | loss: 3.270905 | lrm: 0.79 | dt: 167ms | tok/sec: 782,987 | mfu: 45.0% | epoch: 1 | remaining: 210s    
step 00549 (30.1%) | loss: 3.261027 | lrm: 0.79 | dt: 168ms | tok/sec: 778,006 | mfu: 44.7% | epoch: 1 | remaining: 210s    
step 00550 (30.2%) | loss: 3.258836 | lrm: 0.79 | dt: 167ms | tok/sec: 784,721 | mfu: 45.1% | epoch: 1 | remaining: 209s    
step 00551 (30.2%) | loss: 3.265712 | lrm: 0.79 | dt: 167ms | tok/sec: 786,997 | mfu: 45.2% | epoch: 1 | remaining: 209s    
step 00552 (30.3%) | loss: 3.261713 | lrm: 0.79 | dt: 167ms | tok/sec: 784,337 | mfu: 45.1% | epoch: 1 | remaining: 209s    
step 00553 (30.3%) | loss: 3.265240 | lrm: 0.79 | dt: 167ms | tok/sec: 785,007 | mfu: 45.1% | epoch: 1 | remaining: 209s    
step 00554 (30.4%) | loss: 3.256866 | lrm: 0.78 | dt: 167ms | tok/sec: 786,016 | mfu: 45.2% | epoch: 1 | remaining: 209s    
step 00555 (30.4%) | loss: 3.257123 | lrm: 0.78 | dt: 166ms | tok/sec: 788,697 | mfu: 45.3% | epoch: 1 | remaining: 209s    
step 00556 (30.5%) | loss: 3.261826 | lrm: 0.78 | dt: 166ms | tok/sec: 787,223 | mfu: 45.2% | epoch: 1 | remaining: 208s    
step 00557 (30.5%) | loss: 3.267529 | lrm: 0.78 | dt: 168ms | tok/sec: 781,643 | mfu: 44.9% | epoch: 1 | remaining: 208s    
step 00558 (30.6%) | loss: 3.259222 | lrm: 0.78 | dt: 167ms | tok/sec: 785,052 | mfu: 45.1% | epoch: 1 | remaining: 208s    
step 00559 (30.7%) | loss: 3.258540 | lrm: 0.78 | dt: 166ms | tok/sec: 788,132 | mfu: 45.3% | epoch: 1 | remaining: 208s    
step 00560 (30.7%) | loss: 3.251064 | lrm: 0.78 | dt: 167ms | tok/sec: 786,370 | mfu: 45.2% | epoch: 1 | remaining: 208s    
step 00561 (30.8%) | loss: 3.248781 | lrm: 0.78 | dt: 167ms | tok/sec: 784,079 | mfu: 45.1% | epoch: 1 | remaining: 208s    
step 00562 (30.8%) | loss: 3.247222 | lrm: 0.78 | dt: 168ms | tok/sec: 782,341 | mfu: 45.0% | epoch: 1 | remaining: 207s    
step 00563 (30.9%) | loss: 3.248834 | lrm: 0.78 | dt: 166ms | tok/sec: 790,226 | mfu: 45.4% | epoch: 1 | remaining: 207s    
step 00564 (30.9%) | loss: 3.246070 | lrm: 0.78 | dt: 167ms | tok/sec: 784,781 | mfu: 45.1% | epoch: 1 | remaining: 207s    
step 00565 (31.0%) | loss: 3.243271 | lrm: 0.78 | dt: 168ms | tok/sec: 781,499 | mfu: 44.9% | epoch: 1 | remaining: 207s    
step 00566 (31.0%) | loss: 3.246331 | lrm: 0.78 | dt: 167ms | tok/sec: 787,143 | mfu: 45.2% | epoch: 1 | remaining: 207s    
step 00567 (31.1%) | loss: 3.243002 | lrm: 0.78 | dt: 202ms | tok/sec: 648,394 | mfu: 37.3% | epoch: 1 | remaining: 206s    
step 00568 (31.2%) | loss: 3.245300 | lrm: 0.78 | dt: 165ms | tok/sec: 796,417 | mfu: 45.8% | epoch: 1 | remaining: 206s    
step 00569 (31.2%) | loss: 3.245200 | lrm: 0.78 | dt: 166ms | tok/sec: 788,296 | mfu: 45.3% | epoch: 1 | remaining: 206s    
step 00570 (31.3%) | loss: 3.245438 | lrm: 0.78 | dt: 168ms | tok/sec: 781,044 | mfu: 44.9% | epoch: 1 | remaining: 206s    
step 00571 (31.3%) | loss: 3.250113 | lrm: 0.77 | dt: 226ms | tok/sec: 579,650 | mfu: 33.3% | epoch: 1 | remaining: 206s    
step 00572 (31.4%) | loss: 3.251185 | lrm: 0.77 | dt: 165ms | tok/sec: 793,099 | mfu: 45.6% | epoch: 1 | remaining: 206s    
step 00573 (31.5%) | loss: 3.251245 | lrm: 0.77 | dt: 167ms | tok/sec: 785,734 | mfu: 45.2% | epoch: 1 | remaining: 205s    
step 00574 (31.5%) | loss: 3.252930 | lrm: 0.77 | dt: 168ms | tok/sec: 780,371 | mfu: 44.8% | epoch: 1 | remaining: 205s    
step 00575 (31.6%) | loss: 3.254136 | lrm: 0.77 | dt: 167ms | tok/sec: 784,946 | mfu: 45.1% | epoch: 1 | remaining: 205s    
step 00576 (31.6%) | loss: 3.255725 | lrm: 0.77 | dt: 166ms | tok/sec: 789,205 | mfu: 45.4% | epoch: 1 | remaining: 205s    
step 00577 (31.7%) | loss: 3.247903 | lrm: 0.77 | dt: 168ms | tok/sec: 782,469 | mfu: 45.0% | epoch: 1 | remaining: 205s    
step 00578 (31.7%) | loss: 3.249462 | lrm: 0.77 | dt: 167ms | tok/sec: 782,577 | mfu: 45.0% | epoch: 1 | remaining: 205s    
step 00579 (31.8%) | loss: 3.245172 | lrm: 0.77 | dt: 166ms | tok/sec: 789,416 | mfu: 45.4% | epoch: 1 | remaining: 204s    
step 00580 (31.9%) | loss: 3.257938 | lrm: 0.77 | dt: 174ms | tok/sec: 754,281 | mfu: 43.3% | epoch: 1 | remaining: 204s    
step 00581 (31.9%) | loss: 3.258482 | lrm: 0.77 | dt: 167ms | tok/sec: 784,216 | mfu: 45.1% | epoch: 1 | remaining: 204s    
step 00582 (32.0%) | loss: 3.256600 | lrm: 0.77 | dt: 167ms | tok/sec: 786,464 | mfu: 45.2% | epoch: 1 | remaining: 204s    
step 00583 (32.0%) | loss: 3.258476 | lrm: 0.77 | dt: 166ms | tok/sec: 789,605 | mfu: 45.4% | epoch: 1 | remaining: 204s    
step 00584 (32.1%) | loss: 3.256454 | lrm: 0.77 | dt: 167ms | tok/sec: 786,312 | mfu: 45.2% | epoch: 1 | remaining: 204s    
step 00585 (32.1%) | loss: 3.254093 | lrm: 0.77 | dt: 168ms | tok/sec: 778,381 | mfu: 44.7% | epoch: 1 | remaining: 203s    
step 00586 (32.2%) | loss: 3.255966 | lrm: 0.77 | dt: 167ms | tok/sec: 783,749 | mfu: 45.0% | epoch: 1 | remaining: 203s    
step 00587 (32.3%) | loss: 3.256003 | lrm: 0.77 | dt: 166ms | tok/sec: 790,285 | mfu: 45.4% | epoch: 1 | remaining: 203s    
step 00588 (32.3%) | loss: 3.257453 | lrm: 0.76 | dt: 167ms | tok/sec: 783,207 | mfu: 45.0% | epoch: 1 | remaining: 203s    
step 00589 (32.4%) | loss: 3.252488 | lrm: 0.76 | dt: 167ms | tok/sec: 786,255 | mfu: 45.2% | epoch: 1 | remaining: 203s    
step 00590 (32.4%) | loss: 3.253612 | lrm: 0.76 | dt: 167ms | tok/sec: 782,770 | mfu: 45.0% | epoch: 1 | remaining: 203s    
step 00591 (32.5%) | loss: 3.258503 | lrm: 0.76 | dt: 167ms | tok/sec: 786,099 | mfu: 45.2% | epoch: 1 | remaining: 202s    
step 00592 (32.5%) | loss: 3.258022 | lrm: 0.76 | dt: 168ms | tok/sec: 782,234 | mfu: 45.0% | epoch: 1 | remaining: 202s    
step 00593 (32.6%) | loss: 3.261763 | lrm: 0.76 | dt: 168ms | tok/sec: 778,085 | mfu: 44.7% | epoch: 1 | remaining: 202s    
step 00594 (32.6%) | loss: 3.262683 | lrm: 0.76 | dt: 168ms | tok/sec: 781,497 | mfu: 44.9% | epoch: 1 | remaining: 202s    
step 00595 (32.7%) | loss: 3.267313 | lrm: 0.76 | dt: 166ms | tok/sec: 788,432 | mfu: 45.3% | epoch: 1 | remaining: 202s    
step 00596 (32.8%) | loss: 3.261171 | lrm: 0.76 | dt: 168ms | tok/sec: 782,198 | mfu: 45.0% | epoch: 1 | remaining: 202s    
step 00597 (32.8%) | loss: 3.256674 | lrm: 0.76 | dt: 167ms | tok/sec: 785,443 | mfu: 45.1% | epoch: 1 | remaining: 201s    
step 00598 (32.9%) | loss: 3.256569 | lrm: 0.76 | dt: 166ms | tok/sec: 789,547 | mfu: 45.4% | epoch: 1 | remaining: 201s    
step 00599 (32.9%) | loss: 3.256840 | lrm: 0.76 | dt: 168ms | tok/sec: 781,355 | mfu: 44.9% | epoch: 1 | remaining: 201s    
step 00600 (33.0%) | loss: 3.245770 | lrm: 0.76 | dt: 168ms | tok/sec: 779,683 | mfu: 44.8% | epoch: 1 | remaining: 201s    
step 00601 (33.0%) | loss: 3.241362 | lrm: 0.76 | dt: 167ms | tok/sec: 786,876 | mfu: 45.2% | epoch: 1 | remaining: 201s    
step 00602 (33.1%) | loss: 3.239117 | lrm: 0.76 | dt: 167ms | tok/sec: 783,995 | mfu: 45.1% | epoch: 1 | remaining: 201s    
step 00603 (33.1%) | loss: 3.234021 | lrm: 0.76 | dt: 167ms | tok/sec: 782,589 | mfu: 45.0% | epoch: 1 | remaining: 200s    
step 00604 (33.2%) | loss: 3.230968 | lrm: 0.76 | dt: 167ms | tok/sec: 782,933 | mfu: 45.0% | epoch: 1 | remaining: 200s    
step 00605 (33.3%) | loss: 3.235208 | lrm: 0.75 | dt: 166ms | tok/sec: 789,973 | mfu: 45.4% | epoch: 1 | remaining: 200s    
step 00606 (33.3%) | loss: 3.239411 | lrm: 0.75 | dt: 166ms | tok/sec: 789,093 | mfu: 45.3% | epoch: 1 | remaining: 200s    
step 00607 (33.4%) | loss: 3.237690 | lrm: 0.75 | dt: 167ms | tok/sec: 783,763 | mfu: 45.0% | epoch: 1 | remaining: 200s    
step 00608 (33.4%) | loss: 3.237317 | lrm: 0.75 | dt: 167ms | tok/sec: 785,017 | mfu: 45.1% | epoch: 1 | remaining: 200s    
step 00609 (33.5%) | loss: 3.241694 | lrm: 0.75 | dt: 167ms | tok/sec: 784,000 | mfu: 45.1% | epoch: 1 | remaining: 199s    
step 00610 (33.5%) | loss: 3.236907 | lrm: 0.75 | dt: 166ms | tok/sec: 787,921 | mfu: 45.3% | epoch: 1 | remaining: 199s    
step 00611 (33.6%) | loss: 3.240127 | lrm: 0.75 | dt: 167ms | tok/sec: 783,912 | mfu: 45.1% | epoch: 1 | remaining: 199s    
step 00612 (33.6%) | loss: 3.235169 | lrm: 0.75 | dt: 167ms | tok/sec: 783,807 | mfu: 45.0% | epoch: 1 | remaining: 199s    
step 00613 (33.7%) | loss: 3.235783 | lrm: 0.75 | dt: 167ms | tok/sec: 783,822 | mfu: 45.0% | epoch: 1 | remaining: 199s    
step 00614 (33.8%) | loss: 3.236449 | lrm: 0.75 | dt: 166ms | tok/sec: 788,878 | mfu: 45.3% | epoch: 1 | remaining: 199s    
step 00615 (33.8%) | loss: 3.237016 | lrm: 0.75 | dt: 167ms | tok/sec: 784,173 | mfu: 45.1% | epoch: 1 | remaining: 198s    
step 00616 (33.9%) | loss: 3.245554 | lrm: 0.75 | dt: 168ms | tok/sec: 781,231 | mfu: 44.9% | epoch: 1 | remaining: 198s    
step 00617 (33.9%) | loss: 3.246050 | lrm: 0.75 | dt: 168ms | tok/sec: 781,897 | mfu: 44.9% | epoch: 1 | remaining: 198s    
step 00618 (34.0%) | loss: 3.248490 | lrm: 0.75 | dt: 167ms | tok/sec: 786,681 | mfu: 45.2% | epoch: 1 | remaining: 198s    
step 00619 (34.0%) | loss: 3.246574 | lrm: 0.75 | dt: 167ms | tok/sec: 783,573 | mfu: 45.0% | epoch: 1 | remaining: 198s    
step 00620 (34.1%) | loss: 3.244760 | lrm: 0.75 | dt: 167ms | tok/sec: 782,546 | mfu: 45.0% | epoch: 1 | remaining: 198s    
step 00621 (34.1%) | loss: 3.248013 | lrm: 0.75 | dt: 174ms | tok/sec: 754,131 | mfu: 43.3% | epoch: 1 | remaining: 197s    
step 00622 (34.2%) | loss: 3.242913 | lrm: 0.74 | dt: 166ms | tok/sec: 787,625 | mfu: 45.3% | epoch: 1 | remaining: 197s    
step 00623 (34.3%) | loss: 3.241445 | lrm: 0.74 | dt: 182ms | tok/sec: 721,155 | mfu: 41.4% | epoch: 1 | remaining: 197s    
step 00624 (34.3%) | loss: 3.236946 | lrm: 0.74 | dt: 167ms | tok/sec: 784,034 | mfu: 45.1% | epoch: 1 | remaining: 197s    
step 00625 (34.4%) | loss: 3.237482 | lrm: 0.74 | dt: 167ms | tok/sec: 785,527 | mfu: 45.1% | epoch: 1 | remaining: 197s    
step 00626 (34.4%) | loss: 3.235478 | lrm: 0.74 | dt: 167ms | tok/sec: 784,123 | mfu: 45.1% | epoch: 1 | remaining: 197s    
step 00627 (34.5%) | loss: 3.233219 | lrm: 0.74 | dt: 167ms | tok/sec: 782,770 | mfu: 45.0% | epoch: 1 | remaining: 196s    
step 00628 (34.5%) | loss: 3.228845 | lrm: 0.74 | dt: 168ms | tok/sec: 779,920 | mfu: 44.8% | epoch: 1 | remaining: 196s    
step 00629 (34.6%) | loss: 3.226848 | lrm: 0.74 | dt: 168ms | tok/sec: 782,416 | mfu: 45.0% | epoch: 1 | remaining: 196s    
step 00630 (34.7%) | loss: 3.229621 | lrm: 0.74 | dt: 167ms | tok/sec: 785,288 | mfu: 45.1% | epoch: 1 | remaining: 196s    
step 00631 (34.7%) | loss: 3.227316 | lrm: 0.74 | dt: 168ms | tok/sec: 781,582 | mfu: 44.9% | epoch: 1 | remaining: 196s    
step 00632 (34.8%) | loss: 3.223987 | lrm: 0.74 | dt: 167ms | tok/sec: 786,011 | mfu: 45.2% | epoch: 1 | remaining: 196s    
step 00633 (34.8%) | loss: 3.221586 | lrm: 0.74 | dt: 167ms | tok/sec: 786,437 | mfu: 45.2% | epoch: 1 | remaining: 195s    
step 00634 (34.9%) | loss: 3.219646 | lrm: 0.74 | dt: 167ms | tok/sec: 786,738 | mfu: 45.2% | epoch: 1 | remaining: 195s    
step 00635 (34.9%) | loss: 3.221550 | lrm: 0.74 | dt: 167ms | tok/sec: 784,331 | mfu: 45.1% | epoch: 1 | remaining: 195s    
step 00636 (35.0%) | loss: 3.221854 | lrm: 0.74 | dt: 168ms | tok/sec: 780,980 | mfu: 44.9% | epoch: 1 | remaining: 195s    
step 00637 (35.0%) | loss: 3.224295 | lrm: 0.74 | dt: 166ms | tok/sec: 789,539 | mfu: 45.4% | epoch: 1 | remaining: 195s    
step 00638 (35.1%) | loss: 3.222408 | lrm: 0.74 | dt: 167ms | tok/sec: 785,356 | mfu: 45.1% | epoch: 1 | remaining: 195s    
step 00639 (35.2%) | loss: 3.220846 | lrm: 0.73 | dt: 167ms | tok/sec: 786,080 | mfu: 45.2% | epoch: 1 | remaining: 194s    
step 00640 (35.2%) | loss: 3.217970 | lrm: 0.73 | dt: 168ms | tok/sec: 781,308 | mfu: 44.9% | epoch: 1 | remaining: 194s    
step 00641 (35.3%) | loss: 3.213810 | lrm: 0.73 | dt: 167ms | tok/sec: 786,388 | mfu: 45.2% | epoch: 1 | remaining: 194s    
step 00642 (35.3%) | loss: 3.209408 | lrm: 0.73 | dt: 166ms | tok/sec: 788,316 | mfu: 45.3% | epoch: 1 | remaining: 194s    
step 00643 (35.4%) | loss: 3.208765 | lrm: 0.73 | dt: 167ms | tok/sec: 786,025 | mfu: 45.2% | epoch: 1 | remaining: 194s    
step 00644 (35.4%) | loss: 3.209666 | lrm: 0.73 | dt: 168ms | tok/sec: 780,062 | mfu: 44.8% | epoch: 1 | remaining: 194s    
step 00645 (35.5%) | loss: 3.214052 | lrm: 0.73 | dt: 186ms | tok/sec: 704,956 | mfu: 40.5% | epoch: 1 | remaining: 193s    
step 00646 (35.5%) | loss: 3.210986 | lrm: 0.73 | dt: 165ms | tok/sec: 793,755 | mfu: 45.6% | epoch: 1 | remaining: 193s    
step 00647 (35.6%) | loss: 3.211523 | lrm: 0.73 | dt: 166ms | tok/sec: 788,625 | mfu: 45.3% | epoch: 1 | remaining: 193s    
step 00648 (35.7%) | loss: 3.210025 | lrm: 0.73 | dt: 167ms | tok/sec: 783,304 | mfu: 45.0% | epoch: 1 | remaining: 193s    
step 00649 (35.7%) | loss: 3.212231 | lrm: 0.73 | dt: 168ms | tok/sec: 779,891 | mfu: 44.8% | epoch: 1 | remaining: 193s    
step 00650 (35.8%) | loss: 3.208615 | lrm: 0.73 | dt: 167ms | tok/sec: 786,930 | mfu: 45.2% | epoch: 1 | remaining: 193s    
step 00651 (35.8%) | loss: 3.210563 | lrm: 0.73 | dt: 168ms | tok/sec: 780,936 | mfu: 44.9% | epoch: 1 | remaining: 192s    
step 00652 (35.9%) | loss: 3.215415 | lrm: 0.73 | dt: 168ms | tok/sec: 781,977 | mfu: 44.9% | epoch: 1 | remaining: 192s    
step 00653 (35.9%) | loss: 3.217630 | lrm: 0.73 | dt: 167ms | tok/sec: 783,537 | mfu: 45.0% | epoch: 1 | remaining: 192s    
step 00654 (36.0%) | loss: 3.218856 | lrm: 0.73 | dt: 167ms | tok/sec: 785,106 | mfu: 45.1% | epoch: 1 | remaining: 192s    
step 00655 (36.1%) | loss: 3.212789 | lrm: 0.73 | dt: 167ms | tok/sec: 783,928 | mfu: 45.1% | epoch: 1 | remaining: 192s    
step 00656 (36.1%) | loss: 3.206208 | lrm: 0.72 | dt: 168ms | tok/sec: 781,223 | mfu: 44.9% | epoch: 1 | remaining: 192s    
step 00657 (36.2%) | loss: 3.207862 | lrm: 0.72 | dt: 166ms | tok/sec: 788,007 | mfu: 45.3% | epoch: 1 | remaining: 191s    
step 00658 (36.2%) | loss: 3.208744 | lrm: 0.72 | dt: 167ms | tok/sec: 784,477 | mfu: 45.1% | epoch: 1 | remaining: 191s    
step 00659 (36.3%) | loss: 3.209329 | lrm: 0.72 | dt: 167ms | tok/sec: 786,036 | mfu: 45.2% | epoch: 1 | remaining: 191s    
